,name,price,asins,reviews.text
23,Alpine,9283,"B00Q397RJY,B005LKCDR2,B001447Z8Q","there have been a few occasions where this device would not connect using the usb cable, however, it definitely was worth the money and it works very very well. there have been only a few occasions where i had to unplug my iPhone and replug it in for the device to connect properly. but seriously, that was only a few times and it works great and i am happy with my purchase. the only thing about the interface that i do not like is that not all apps are comparable, such as Waze map app. Other than the occasional connection issue, which really hasn't been a problem, and the lack of full app support, I would have given this device 5 stars. I am VERY happy that my Slacker radio works! Apple maps work great and so does siri for use of the phone and iMessages!! I am very happy with this Alpine!"
24,XPS 8920 Tower Desktop Computer,8342,B06XVDYHQX,My husband love it it was a gift and perfect good product
25,Air-Fi Runaway AF32 Stereo Bluetooth Wireless Headphones with Hidden Microphone (White),5050,B008FH1PJA,"I love these headphones. At first, I bought a pair for my son. We were so impressed with the sound quality, that I went back and bought myself a pair."
26,SAMSUNG 40'' Class FHD (1080P) Smart LED TV (UN40M5300),7408,B071ZVQVFQ,This TV is such a great deal for the price. I love the clear picture and the Smart TV features.
27,NS-SP1800BL 5.1-Channel Home Theater System (Black),7880,B001AVRD62,Good size and good looking with great sound treble and base
28,Acoustimass 6 Series V Home Theater Speaker System (Black),8550,B00TVFO08S,"The Bose speakers are great. They work great and sound great. If you want a plug and play system, this is it."
29,Logitech G403 Wireless Gaming Mouse with High Performance Gaming Sensor,8736,B01KUAMCWI,"I like the mouse except that it has no warning when the battery is out of power or near out of power, it just stops working. I leave it plugged in when gaming."
30,Sony MEXM100BT 160W RMS Marine CD Receiver with Bluetooth (Black) and SiriusXM Ready,9970,B01CEAT9ZU,"Great sound, remote is great to have for use on boat. I don't have the glare issue that others have complained about"
31,Sony SRSXB30/BLK XB30 Portable Wireless Speaker with Bluetooth,629,"B01MUG578I,B072MP2CFG",Base does not change very much .Sound not full when out of the store
32,Sony LBT-GPX555 Mini-System with Bluetooth and NFC,5292,B00IWQ3YPC,
33,NS-IW480CWH In-Ceiling 8 Natural Sound Three-Way Speaker System (Pair),4460,B000O3TFWW,We plugged them into the system to give a try before installing. They sound good on rock n roll classics but for movies the sound was a little too muddy for me
34,Motorola Wi-Fi Pet Video Camera,4105,B00LIL7YVI,"I bought this obviously to watch my pets. One of them has been digging at some trim and I wanted to see who it was. I have witnessed the culprit and am able to talk with her to get her to stop. I have been using for 2 weeks now, almost daily. When I go to work is my main concern, but have tried even while out shopping, dining etc. The picture has always been crystal clear, however, it does switch between black and white and color. Not sure why but it's not a major issue for me. You can can hear them or mute them, speak with them, check on the room temperature, it has night vision that works in the complete darkness and still get a nice picture. They also will save the recordings for you for a small fee. They give 7 days free. My only dissatisfaction with this product is that you cannot raise the volume on the camera itself and I feel it's a little on the low side. I do know the dogs can hear me when I speak to them. There are 2 holes in the bottom to mount, but the way I would really like to mount it turns the camera upside down and the picture stays that way, it won't right itself. I'm satisfied with this little camera and has done what I need it to do. When I have to be away from the pups I can still check in on them and talk with them. It has actually put me at ease and given me a little peace of mind. I can see that they are doing well, have water, they are playing and most importantly that they are safe and peaceful. My boss made a good point today as well. The direction the camera faces happens to be my front door, so I can see if anyone breaks in or if there should be a fire or some dangerous situation, I will know in real time."
35,"AW6500 All-Weather Outdoor Speaker (White, Single)",8720,"B00170HCOO,B001BBT7RY,B00170O1HK","Great sound for my patio use, covers 400 Square feet!"
36,"Alpine - 6-1/2"" 2-Way Coaxial Car Speakers with Polypropylene Cones (Pair) - Black",2120,B0038NMC8O,These speakers really sound full and rich tones fits perfect.
37,Travel RockStar 3-in-1 2A USB and Dual-Outlet Wall Charger with Internal 3000mAh Battery Pack,7593,B01364B00K,"Ordered this for my nephew, it's exactly what he wanted and works as he expected. Best Buy even honored a price match."
38,Bowers & Wilkins P7 Wired Over Ear Headphones,2178,B00F6PRSMW,"I would actually give these 4 1/2 stars if I could. These are the best headphones I have ever heard from B&W, greatly improved from their closed in, overly warm earlier models. The P7 wireless still have a somewhat elevated bass, but control and slam in the bass region is excellent and the elevated bass does not muddy the excellent midrange. Highs are very good also. Imaging not a pinpoint as the Sennheiser Momentum wireless, but also very good. Superior bluetooth range, and interference when it does occur is not as ""busy"" as on the Momentums - instead of a series of dropouts and digi-noise as on the Senns, I usually only get a simple dropout of signal - much less annoying. Everything is improved a bit in wired mode, the bass is even better controlled, making them less warm while improving slam even more, midrange & highs also improve. Best ear pads ever - very deep and the foam forms a nice seal which is very effective for blocking outside noise (there is no Noise Cancelling in these as in the Momentums). Clamping force is very strong at first (which helps with the seal) which may be off-putting to some. These are excellent headphones, especially for Bluetooth headphones, but I find the Momentums a tad more refined and prefer them slightly to the P7. However, they are close enough in quality that it is a matter of taste I think, and many will prefer the B&W - you can't go wrong either way."
39,Everest Elite 700 Around-Ear Wireless Headphones (White),8282,B01AEW9E46,purchased as a gift and I've receiver perfect feedback from recipient
40,Clarity - Super-Loud Phone Ringer - White,4774,B00009WCBT,Much needed for my Mother in Law to hear when the phone rings
41,House of Marley EM-DH003-PS TTR Noise-Cancelling Over-Ear Headphones (Black),9131,B00RZYD51A,"Great headphones, very comfortable and sound great"
42,Toshiba Micro Component Speaker System: Wireless Bluetooth Speaker Sound System with FM,1861,B0742RMVQ8,Just what I was looking for my small workroom. Good sound but does not take up a lot of room. I can use it for both my cds and mp3 disks.
43,"Kicker 41IK5BT2V2 Amphitheater High-Performance Audio System with Bluetooth, Black",7968,B00L2EWRW2,"I love this product, and I was surprised at how much bass it kicks out. The Bluetooth feature is a plus"
44,Prime Three-Way Center Channel Speaker (Premium Black Ash),6007,B00PASUGTC,"Like everything that SVS makes, this is one terrific center channel. I recplaced an old Bose center channel and this just blows it away. Clear, crisp dialogue. A little bright when first used, however, once it is broken in with multiple soundtracks and 20-30 hours of use it settles right in. Just terrific."
45,2TB Red 5400 rpm SATA III 3.5 Internal NAS HDD,4073,B008JJLZ7G,"The Red series by Western Digital has been fantastic in my Media Server. I have 8 2 TB drives in it, and I have been running ZFS in a RAIDZ-2 configuration without a hitch for some months. Several of the drives have been in the server for over a year, and not a single error has occurred. Since they support TLER, these drives are great for RAID arrays (both software and hardware)."
46,Nighthawk AC1900 Dual-Band Wi-Fi USB Adapter,5223,B073JHHNJ9,I needed good reliable wifi adapter for my desktop pc and this works great.
47,Samsung Universal 3100mAh Portable External Battery Charger - White,9028,B00KGGK1J8,
48,Logitech 915-000224  Harmony Ultimate One 15-Device Universal Infrared Remote with Customizable Touch Screen Control - Black,5823,B00IAKLM54,"Cannot hit play, FF or Rev, etc, without having your hand/arm over the touch pad which is VERY sensitive! The slightest brush can mess up what you are watching. I have to brace my forearm on the bottom part, keep my wrist bent up very high in order to use the playing options. Even then it's not a given it won't sense your arm over the top and change it to a different channel or activity. Also no way to use a number pad that I can find so have to grab another remote to do that. It's a nice idea but very flawed design. It would be much better to have the touch screen at the top at least, and a screen to go to that gives the number/alphabet option."
49,Round LCD/Projector Ceiling Plate - Black,7326,"B005MJHFHK,B00VXW0J5A,B00OY50CZU",This looks good on my celling. Flushes very well with the celling.
